Date,Name,Year,Letterboxd URI,Rating
2022-11-29,Doppelganger,1993,https://boxd.it/1GlG,2.5
2022-11-30,Visiting Hours,1982,https://boxd.it/M4O,2
2022-12-02,Sometimes They Come Back,1991,https://boxd.it/1r0S,1.5
2022-12-02,Cool World,1992,https://boxd.it/1Ou2,1.5
2022-12-02,Vampirella,1996,https://boxd.it/qiO,0.5
2022-12-02,Strangeland,1998,https://boxd.it/1qYi,2.5
2022-12-02,Species,1995,https://boxd.it/1YUk,3.5
2022-12-03,Species II,1998,https://boxd.it/1WNw,2
2022-12-03,Vampires,1998,https://boxd.it/1XsY,1.5
2022-12-03,The Haunting,1999,https://boxd.it/1Tpw,2.5
2022-12-03,Idle Hands,1999,https://boxd.it/21xI,1
2022-12-04,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,3.5
2022-12-05,The Gingerbread Man,1998,https://boxd.it/1RT0,2
2022-12-07,Abduction 101,2019,https://boxd.it/mDdG,1.5
2022-12-08,The Old Dark House,1932,https://boxd.it/1iL6,2
2022-12-08,Waxwork,1988,https://boxd.it/1odO,1.5
2022-12-10,711 Ocean Drive,1950,https://boxd.it/195U,2
2022-12-21,A Bay of Blood,1971,https://boxd.it/232i,3
2022-12-21,Bedazzled,2000,https://boxd.it/28qu,1.5
2022-12-21,Bad Dreams,1988,https://boxd.it/hyy,2.5
2022-12-23,A Christmas Story,1983,https://boxd.it/29sw,5
2022-12-25,The Grinch,2018,https://boxd.it/chpK,3
2022-12-25,Barbarian Queen,1985,https://boxd.it/1mpo,2.5
2022-12-25,Basic,2003,https://boxd.it/1Vpy,1.5
2022-12-26,Hatchet,2006,https://boxd.it/1SNC,2.5
2022-12-26,Hatchet II,2010,https://boxd.it/TfO,1.5
2022-12-26,Haunted Honeymoon,1986,https://boxd.it/1yiO,1.5
2022-12-26,Hatchet III,2013,https://boxd.it/5bQw,1.5
2022-12-26,The Haunting of Morella,1990,https://boxd.it/1mp4,1.5
2022-12-26,Hitcher in the Dark,1989,https://boxd.it/2ldS,1.5
2022-12-26,House,1985,https://boxd.it/1TTG,1.5
2022-12-27,Human Experiments,1979,https://boxd.it/2ooa,0.5
2022-12-27,I Still Know What You Did Last Summer,1998,https://boxd.it/257O,1.5
2022-12-27,Immortal Sins,1991,https://boxd.it/51Ko,1.5
2022-12-27,Impact,1949,https://boxd.it/1vGS,2
2022-12-28,Invaders from Mars,1986,https://boxd.it/1i8S,1
2022-12-28,Invisible Agent,1942,https://boxd.it/1pCA,1.5
2022-12-28,The Night Stalker,1972,https://boxd.it/1Mom,2.5
2022-12-28,Night of the Demons,1988,https://boxd.it/1wLO,2.5
2022-12-29,Happy Birthday to Me,1981,https://boxd.it/179U,3
2022-12-30,Blood Sabbath,1972,https://boxd.it/1pXI,0.5
2022-12-30,Capricorn One,1977,https://boxd.it/1SJq,3
2022-12-30,A Certain Sacrifice,1985,https://boxd.it/5eo6,0.5
2022-12-31,The Creeping Flesh,1973,https://boxd.it/WPq,1
2023-01-04,Violent Night,2022,https://boxd.it/xXBA,4
2023-01-06,Louis C.K.: Sorry,2021,https://boxd.it/yy7C,3
2023-01-06,Mars Attacks!,1996,https://boxd.it/2bd4,2.5
2023-01-06,The Beyond,1981,https://boxd.it/1FtY,1
2023-01-06,The Blob,1988,https://boxd.it/1YgY,3
2023-01-08,#1 Cheerleader Camp,2010,https://boxd.it/Zww,0.5
2023-01-08,Asylum,1972,https://boxd.it/1uGM,3
2023-01-10,Along Came a Spider,2001,https://boxd.it/27yW,2.5
2023-01-10,A.I. Rising,2018,https://boxd.it/ihpC,2.5
2023-01-11,Marihuana,1936,https://boxd.it/9ue,1
2023-01-11,Girls School Screamers,1986,https://boxd.it/30oM,1
2023-01-12,So I Married an Axe Murderer,1993,https://boxd.it/1WfO,3
2023-01-12,The Medicine Man,1930,https://boxd.it/5any,1
2023-01-13,Gothika,2003,https://boxd.it/23y4,1.5
2023-01-13,Half Shot at Sunrise,1930,https://boxd.it/31Yc,1.5
2023-01-13,Drive Thru,2007,https://boxd.it/Nuy,2
2023-01-15,Bloody Moon,1981,https://boxd.it/12UQ,2.5
2023-01-16,Fantasy Island,2020,https://boxd.it/jEVy,2
2023-01-17,Mortuary,1983,https://boxd.it/QUY,2.5
2023-01-18,Killer Mermaid,2014,https://boxd.it/7HCU,3
2023-01-18,Ghostbusters,2016,https://boxd.it/Vm8,3
2023-01-18,Ouija: Origin of Evil,2016,https://boxd.it/b5EG,3
2023-01-19,Jackass Presents: Bad Grandpa,2013,https://boxd.it/6e3u,1.5
2023-01-19,Truth or Dare,2018,https://boxd.it/grIA,1.5
2023-01-20,Gremlins 2: The New Batch,1990,https://boxd.it/29g6,2
2023-01-20,Sinbad and the War of the Furies,2016,https://boxd.it/fiXO,0.5
2023-01-20,Tom Holland's Twisted Tales,2014,https://boxd.it/7IXE,1.5
2023-01-25,Hellraiser: Judgment,2018,https://boxd.it/fNRC,1.5
2023-01-25,Willy's Wonderland,2021,https://boxd.it/nTcG,2
2023-01-28,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/25Qk,1
2023-01-30,Maniac,1934,https://boxd.it/1zD4,1
2023-01-30,Road House,1989,https://boxd.it/1X0g,4
2023-02-01,Johnny Mnemonic,1995,https://boxd.it/1XBQ,2
2023-02-08,True Romance,1993,https://boxd.it/2aBa,5
2023-02-10,The Russian Bride,2018,https://boxd.it/j3KI,3.5
2023-02-11,Recovery,2019,https://boxd.it/lZQy,2.5
2023-02-14,Death Wish,1974,https://boxd.it/1P5i,2.5
2023-02-17,Death Wish II,1982,https://boxd.it/1Oeo,2
2023-02-17,Where Evil Lives,1991,https://boxd.it/3XOE,0.5
2023-02-17,Dick Tracy,1990,https://boxd.it/201w,2
2023-02-20,Copycat,1995,https://boxd.it/28ga,4
2023-02-20,Death Machine,1994,https://boxd.it/28gE,1.5
2023-02-20,Ex Machina,2015,https://boxd.it/7T2k,5
2023-02-21,Empire Records,1995,https://boxd.it/1PY8,2
2023-02-21,Not Like Us,1995,https://boxd.it/2YfI,1.5
2023-02-23,The Surgeon,1995,https://boxd.it/4jVM,2.5
2023-02-23,The Addiction,1995,https://boxd.it/1cZQ,3
2023-02-23,Sorceress,1995,https://boxd.it/1pnA,1
2023-02-24,Wishmaster,1997,https://boxd.it/1WtG,2
2023-02-24,Wishmaster 2: Evil Never Dies,1999,https://boxd.it/1RCy,2
2023-02-27,Vamp U,2013,https://boxd.it/5c4I,1
2023-02-27,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3
2023-02-28,Sorceress,1982,https://boxd.it/YgW,1
2023-02-28,The Majorettes,1986,https://boxd.it/30o8,1
2023-02-28,Wishmaster 3: Beyond the Gates of Hell,2001,https://boxd.it/1p9S,1
2023-02-28,Tremors,1990,https://boxd.it/1YSe,3
2023-03-01,Fear of the Dark,2003,https://boxd.it/Sz4,2
2023-03-01,The Shunned House,2003,https://boxd.it/5szW,1
2023-03-01,The Invitation,2003,https://boxd.it/64C0,2
2023-03-04,Vampires: Los Muertos,2002,https://boxd.it/1VQu,1
2023-03-05,Spun,2002,https://boxd.it/1SAo,3
2023-03-06,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,2.5
2023-03-07,All-American Murder,1991,https://boxd.it/44Xo,2
